time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-19T04:21:43.090Z,38.8256683,-122.8521652,2.1,1.04,md,7,128,0.01363,0.02,nc,nc73123000,2018-12-19T04:23:20.059Z,"10km WNW of The Geysers, CA",earthquake,0.49,0.98,,1,automatic,nc,nc
2018-12-19T04:18:17.230Z,36.6875,-121.305336,0.98,1.93,md,16,149,0.07685,0.04,nc,nc73122995,2018-12-19T06:59:02.955Z,"12km S of Tres Pinos, CA",earthquake,0.42,6.51,0.11,14,automatic,nc,nc
2018-12-19T04:17:30.770Z,18.0085,-66.5886,15,1.78,md,8,230,0.0386,0.12,pr,pr2018353002,2018-12-19T09:02:53.285Z,"2km E of Ponce, Puerto Rico",earthquake,0.62,0.42,0.23,6,reviewed,pr,pr
2018-12-19T04:10:41.640Z,-16.2384,167.9047,35,4.8,mb,,68,1.036,0.88,us,us2000iuz5,2018-12-19T04:33:55.040Z,"53km ESE of Lakatoro, Vanuatu",earthquake,5.8,2,0.118,22,reviewed,us,us
2018-12-19T03:59:36.026Z,61.4077,-149.9364,33.8,1.8,ml,,,,0.63,ak,ak20522663,2018-12-19T04:03:26.059Z,"12km S of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-12-19T03:55:13.330Z,37.3945,-114.9242,0,0.9,ml,8,332.11,0.169,0.25,nn,nn00670785,2018-12-19T03:59:21.559Z,"21km E of Alamo, Nevada",earthquake,,17.7,,,automatic,nn,nn
2018-12-19T03:53:18.160Z,38.8450012,-122.8130035,3.26,1.06,md,11,90,0.01258,0.08,nc,nc73122985,2018-12-19T03:54:54.745Z,"8km WNW of Cobb, CA",earthquake,0.7,1.69,,1,automatic,nc,nc
2018-12-19T03:48:35.346Z,61.3951,-150.0544,36.1,2.4,ml,,,,0.65,ak,ak20522642,2018-12-19T04:01:45.186Z,"15km SSW of Big Lake, Alaska",earthquake,,1,,,automatic,ak,ak
2018-12-19T03:46:32.533Z,61.5103,-149.9236,38.5,1.7,ml,,,,0.88,ak,ak20522641,2018-12-19T03:55:11.774Z,"2km SE of Big Lake, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-12-19T03:44:24.274Z,39.4516,-120.2863,11.1,1,ml,13,169.11,0.032,0.1773,nn,nn00670776,2018-12-19T04:00:59.711Z,"16km NNW of Truckee, California",earthquake,,1.4,0.22,3,reviewed,nn,nn
2018-12-19T03:41:26.221Z,61.34,-149.9967,35.5,1.8,ml,,,,0.47,ak,ak20522640,2018-12-19T03:53:30.403Z,"14km NNW of Anchorage, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-12-19T03:38:38.490Z,30.5431,-41.8413,10,5.4,mb,,59,19.58,0.98,us,us2000iuyv,2018-12-19T04:03:58.040Z,"Northern Mid-Atlantic Ridge",earthquake,10.3,1.9,0.031,363,reviewed,us,us
2018-12-19T03:31:14.480Z,43.5908333,-110.4805,8.34,1.26,ml,8,157,0.092,0.12,mb,mb80329079,2018-12-19T15:15:00.550Z,"25km ENE of Jackson, Wyoming",earthquake,0.73,0.99,0.167,7,reviewed,mb,mb
2018-12-19T03:27:49.992Z,61.5052,-149.9053,34.1,1.6,ml,,,,0.34,ak,ak20522638,2018-12-19T03:31:10.762Z,"3km SE of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-12-19T03:23:01.360Z,25.4445,123.7367,158.64,4.3,mb,,81,1.174,0.55,us,us2000iuys,2018-12-19T04:11:06.040Z,"129km NNW of Ishigaki, Japan",earthquake,8.9,9.7,0.177,9,reviewed,us,us
2018-12-19T03:21:44.812Z,58.9374,-152.912,62.9,2.3,ml,,,,0.44,ak,ak20522635,2018-12-19T03:27:29.212Z,"110km SW of Homer, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-12-19T03:21:41.530Z,18.0031,-66.5881,16,1.47,md,3,265,0.0436,0.11,pr,pr2018353006,2018-12-19T09:01:09.525Z,"2km ESE of Ponce, Puerto Rico",earthquake,1.03,0.88,0.02,3,reviewed,pr,pr
2018-12-19T03:12:30.257Z,61.4822,-150.0106,40.5,1.5,ml,,,,0.74,ak,ak20522634,2018-12-19T03:16:04.831Z,"5km SW of Big Lake, Alaska",earthquake,,0.9,,,automatic,ak,ak
